category,categoryName,categoryPos,story,feature,varPos,varRank,endX,endY,join
Aesopic fable,Aesop's Fables,1,"Perry, B. E. (400) ""The She-Goat, the Kid and the Wolf""",SPECIES OF THE VICTIM : Animal,1,1,8,-8,link
Aesopic fable,Aesop's Fables,1,"Perry, B. E. (400) ""The She-Goat, the Kid and the Wolf""",NUMBER OF VICTIM : Single,2,2,8,-8,link
Aesopic fable,Aesop's Fables,1,"Perry, B. E. (400) ""The She-Goat, the Kid and the Wolf""",SPECIES OF THE VILLAIN : Wolf,3,3,8,-8,link
Aesopic fable,Aesop's Fables,1,"Perry, B. E. (400) ""The She-Goat, the Kid and the Wolf""",THE GUARDIAN : Mother,4,4,8,-8,link
Aesopic fable,Aesop's Fables,1,"Perry, B. E. (400) ""The She-Goat, the Kid and the Wolf""",THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-8,link
Aesopic fable,Aesop's Fables,1,"La Fontain, J. (1668) “The Wolf, the Goat and the Kid”",SPECIES OF THE VICTIM : Animal,1,1,8,-9,link
Aesopic fable,Aesop's Fables,1,"La Fontain, J. (1668) “The Wolf, the Goat and the Kid”",NUMBER OF VICTIM : Single,2,2,8,-9,link
Aesopic fable,Aesop's Fables,1,"La Fontain, J. (1668) “The Wolf, the Goat and the Kid”",SPECIES OF THE VILLAIN : Wolf,3,3,8,-9,link
Aesopic fable,Aesop's Fables,1,"La Fontain, J. (1668) “The Wolf, the Goat and the Kid”",THE GUARDIAN : Mother,4,4,8,-9,link
Aesopic fable,Aesop's Fables,1,"La Fontain, J. (1668) “The Wolf, the Goat and the Kid”",THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-9,link
Wolf & the kids,Wolf & the kids,2,"Koudia, J., El. (2003) ""The Mother Goat""  ",SPECIES OF THE VICTIM : Animal,1,1,8,-10,link
Wolf & the kids,Wolf & the kids,2,"Koudia, J., El. (2003) ""The Mother Goat""  ",NUMBER OF VICTIM : Multiple,2,9,8,-10,link
Wolf & the kids,Wolf & the kids,2,"Koudia, J., El. (2003) ""The Mother Goat""  ",SPECIES OF THE VILLAIN : Wolf,3,3,8,-10,link
Wolf & the kids,Wolf & the kids,2,"Koudia, J., El. (2003) ""The Mother Goat""  ",THE GUARDIAN : Mother,4,4,8,-10,link
Wolf & the kids,Wolf & the kids,2,"Koudia, J., El. (2003) ""The Mother Goat""  ",THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-10,link
Wolf & the kids,Wolf & the kids,2,"Grimm J. & Grimm W. (1812). ""Der Wolf und die sieben jungen Geißlein""",SPECIES OF THE VICTIM : Animal,1,1,8,-11,link
Wolf & the kids,Wolf & the kids,2,"Grimm J. & Grimm W. (1812). ""Der Wolf und die sieben jungen Geißlein""",NUMBER OF VICTIM : Multiple,2,9,8,-11,link
Wolf & the kids,Wolf & the kids,2,"Grimm J. & Grimm W. (1812). ""Der Wolf und die sieben jungen Geißlein""",SPECIES OF THE VILLAIN : Wolf,3,3,8,-11,link
Wolf & the kids,Wolf & the kids,2,"Grimm J. & Grimm W. (1812). ""Der Wolf und die sieben jungen Geißlein""",THE GUARDIAN : Mother,4,4,8,-11,link
Wolf & the kids,Wolf & the kids,2,"Grimm J. & Grimm W. (1812). ""Der Wolf und die sieben jungen Geißlein""",THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-11,link
Wolf & the kids,Wolf & the kids,2,"Delarue, P. (1956). ""The Goat and Her Kids""",SPECIES OF THE VICTIM : Animal,1,1,8,-12,link
Wolf & the kids,Wolf & the kids,2,"Delarue, P. (1956). ""The Goat and Her Kids""",NUMBER OF VICTIM : Multiple,2,9,8,-12,link
Wolf & the kids,Wolf & the kids,2,"Delarue, P. (1956). ""The Goat and Her Kids""",SPECIES OF THE VILLAIN : Wolf,3,3,8,-12,link
Wolf & the kids,Wolf & the kids,2,"Delarue, P. (1956). ""The Goat and Her Kids""",THE GUARDIAN : Mother,4,4,8,-12,link
Wolf & the kids,Wolf & the kids,2,"Delarue, P. (1956). ""The Goat and Her Kids""",THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-12,link
Wolf & the kids,Wolf & the kids,2,"Harvey, J. V. (1999) ""The Wolf and the Kids""",SPECIES OF THE VICTIM : Animal,1,1,8,-13,link
Wolf & the kids,Wolf & the kids,2,"Harvey, J. V. (1999) ""The Wolf and the Kids""",NUMBER OF VICTIM : Multiple,2,9,8,-13,link
Wolf & the kids,Wolf & the kids,2,"Harvey, J. V. (1999) ""The Wolf and the Kids""",SPECIES OF THE VILLAIN : Wolf,3,3,8,-13,link
Wolf & the kids,Wolf & the kids,2,"Harvey, J. V. (1999) ""The Wolf and the Kids""",THE GUARDIAN : Mother,4,4,8,-13,link
Wolf & the kids,Wolf & the kids,2,"Harvey, J. V. (1999) ""The Wolf and the Kids""",THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-13,link
Wolf & the kids,Wolf & the kids,2,"Bruford, A. (1994) “The Grey Goat”",SPECIES OF THE VICTIM : Animal,1,1,8,-14,link
Wolf & the kids,Wolf & the kids,2,"Bruford, A. (1994) “The Grey Goat”",NUMBER OF VICTIM : Multiple,2,9,8,-14,link
Wolf & the kids,Wolf & the kids,2,"Bruford, A. (1994) “The Grey Goat”","SPECIES OF THE VILLAIN : Other (Tiger, Lion, Ogre, Fox, Hyena, Alligator)",3,10,8,-14,link
Wolf & the kids,Wolf & the kids,2,"Bruford, A. (1994) “The Grey Goat”",THE GUARDIAN : Mother,4,4,8,-14,link
Wolf & the kids,Wolf & the kids,2,"Bruford, A. (1994) “The Grey Goat”",THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-14,link
Wolf & the kids,Wolf & the kids,2,"Caballero, F. (1883). “The Carlanco”",SPECIES OF THE VICTIM : Animal,1,1,8,-15,link
Wolf & the kids,Wolf & the kids,2,"Caballero, F. (1883). “The Carlanco”",NUMBER OF VICTIM : Multiple,2,9,8,-15,link
Wolf & the kids,Wolf & the kids,2,"Caballero, F. (1883). “The Carlanco”",THE GUARDIAN : Mother,4,4,8,-15,link
Wolf & the kids,Wolf & the kids,2,"Caballero, F. (1883). “The Carlanco”",THE VILLAIN’S DISGUISE : Disguises as the guardian,6,6,8,-15,link
